source,target,weight,avg_streams,country_code,year
dance pop,pop,271,5425612.285714285,au,2017
pop,pop rap,231,4705274.7155172415,au,2017
pop,rap,223,3383558.264957265,au,2017
pop,pop,215,5601261.456790123,au,2017
hip hop,pop,214,3782008.694214876,au,2017
pop rap,rap,199,2965441.185185185,au,2017
hip hop,rap,197,3267594.753246753,au,2017
hip hop,pop rap,182,3171269.3194444445,au,2017
dance pop,pop rap,154,4829743.044943822,au,2017
pop,tropical house,147,6298477.590909091,au,2017
electro,pop,145,5703188.653061224,au,2017
pop,trap,144,4030743.621621622,au,2017
pop rap,trap,136,3657128.3035714286,au,2017
rap,trap,133,3914618.907407407,au,2017
dance pop,rap,130,3965385.371794872,au,2017
dance pop,hip hop,128,3924725.592592593,au,2017
hip hop,trap,127,3221080.527272728,au,2017
rap,rap,108,3226250.215384616,au,2017
dance pop,tropical house,107,6308137.621212121,au,2017
pop rap,pop rap,97,3448959.185185185,au,2017
electropop,pop,96,6391245.05882353,au,2017
hip hop,hip hop,92,2458766.0535714286,au,2017
dance pop,electro,90,6295878.015873016,au,2017
dance pop,dance pop,90,6332625.5606060615,au,2017
dance pop,trap,88,4771615.703703703,au,2017
r&b,rap,68,3179356.695652174,au,2017
electro house,pop,66,5375808.392156864,au,2017
hip hop,r&b,63,3404963.930232558,au,2017
house,pop,61,4864928.479166667,au,2017
pop,r&b,57,4882580.12195122,au,2017
pop rap,r&b,55,4064219.0285714287,au,2017
electro,tropical house,55,5598681.205882353,au,2017
dance,pop,54,5231223.076923077,au,2017
dance pop,electropop,50,7167477.475,au,2017
trap,trap,48,3683310.5714285714,au,2017
pop rap,tropical house,47,5145264.878787879,au,2017
rap,urban contemporary,46,3300627.4827586208,au,2017
electro,pop rap,45,5630002.03125,au,2017
dance pop,electro house,45,6051206.416666668,au,2017
hip hop,urban contemporary,45,3744367.6129032257,au,2017
pop rap,urban contemporary,43,4219060.88,au,2017
electro,electropop,43,6602273.59375,au,2017
r&b,trap,41,3265418.227272727,au,2017
electropop,tropical house,41,6512112.419354837,au,2017
dance,dance pop,40,5033592.6,au,2017
dance pop,house,39,4503784.419354838,au,2017
dance pop,r&b,39,5115005.333333333,au,2017
pop,urban contemporary,39,4657460.851851852,au,2017
electro,hip hop,39,3957587.875,au,2017
tropical house,tropical house,35,5443908.931034483,au,2017
hip hop,tropical house,33,4548565.615384615,au,2017
electro,rap,33,5046606.916666667,au,2017
rap,tropical house,32,5048197.318181818,au,2017
house,pop rap,31,3490847.478260869,au,2017
electro house,pop rap,30,4045624.2380952383,au,2017
other,pop,28,3618312.1,au,2017
electropop,pop rap,28,4154941.5,au,2017
indie pop,pop,28,4631707.25,au,2017
trap,tropical house,28,5356567.3809523815,au,2017
dance pop,urban contemporary,27,5118768.611111111,au,2017
hip hop,soul,26,3326094.523809524,au,2017
dance,pop rap,26,4544542.444444444,au,2017
electropop,rap,26,3305844.666666666,au,2017
trap,urban contemporary,26,5500027.2,au,2017
electro,electro,25,5010199.882352942,au,2017
electro house,rap,25,4478556.944444444,au,2017
electro,trap,25,5489827.8,au,2017
rap,soul,24,2906999.05,au,2017
hip hop,house,24,3058105.0,au,2017
electro house,hip hop,24,4065046.9,au,2017
house,rap,22,3564493.25,au,2017
dance,hip hop,21,3281600.705882353,au,2017
dance,rap,21,3572142.8666666667,au,2017
house,tropical house,20,3464986.5625,au,2017
electropop,hip hop,20,2679076.166666666,au,2017
electro house,trap,20,4997391.125,au,2017
electropop,electropop,19,5149712.176470588,au,2017
soul,trap,18,3567448.9285714286,au,2017
electro,r&b,18,6823312.705882353,au,2017
electro,house,18,3230106.8,au,2017
pop rap,soul,17,4869477.285714285,au,2017
electro house,tropical house,17,5457554.153846154,au,2017
indie pop,tropical house,17,5436903.6,au,2017
house,trap,17,4225626.461538462,au,2017
electro,electro house,17,6891002.181818183,au,2017
dance,tropical house,16,5261508.6,au,2017
pop,soul,16,3844725.642857143,au,2017
hip hop,indie,15,3853772.642857143,au,2017
dance,trap,15,4652043.090909091,au,2017
r&b,tropical house,14,5669915.5,au,2017
house,r&b,14,5917354.785714285,au,2017
electro,other,14,3707225.75,au,2017
indie,pop,14,3853147.5,au,2017
other,rap,13,2127495.3,au,2017
dance pop,indie pop,13,4124563.8181818174,au,2017
electropop,indie pop,13,5852375.75,au,2017
electro house,electropop,12,6376861.181818183,au,2017
hip hop,other,12,2524539.1,au,2017
pop rap,rock,12,5633804.4,au,2017
rap,rock,12,955654.0,au,2017
hip hop,rock,12,797020.8,au,2017
electropop,house,12,4744023.583333333,au,2017
dance,r&b,11,4600154.636363637,au,2017
other,tropical house,11,3285860.8,au,2017
electro,indie pop,11,6679342.222222223,au,2017
latin,pop,11,5649723.777777777,au,2017
electro,urban contemporary,11,4438458.333333333,au,2017
tropical house,urban contemporary,11,4438458.333333333,au,2017
dance pop,soul,11,5002195.6,au,2017
indietronica,pop,11,3985943.5,au,2017
indie,rap,10,2750109.4444444445,au,2017
dance pop,other,10,3038008.5555555555,au,2017
moombahton,pop,10,5503600.0,au,2017
electro house,r&b,10,7671787.0,au,2017
r&b,urban contemporary,10,5038811.666666667,au,2017
dance,electropop,10,8215807.666666668,au,2017
electropop,trap,10,2738965.777777778,au,2017
electro house,house,10,2735511.0,au,2017
electropop,r&b,9,4554309.666666667,au,2017
other,pop rap,9,2987379.5555555555,au,2017
dance,electro,9,4861895.5,au,2017
indie pop rap,pop,9,1440473.111111111,au,2017
dancehall,pop,9,5419784.333333333,au,2017
dance,urban contemporary,9,3966428.7142857136,au,2017
pop rock,rap,9,4741627.285714285,au,2017
pop rap,pop rock,9,7100704.833333332,au,2017
funk,pop,9,8642826.42857143,au,2017
indie,pop rap,8,5060285.875,au,2017
indie,trap,8,2700877.25,au,2017
electropop,other,8,3961464.857142857,au,2017
indie pop,pop rap,8,3280596.1428571427,au,2017
indie pop,rap,8,1215429.875,au,2017
hip hop,indie pop,8,1058102.75,au,2017
pop,reggaeton,8,7076461.857142857,au,2017
pop,tropical,8,7274174.833333332,au,2017
electro house,urban contemporary,8,2528608.333333333,au,2017
indie rock,pop,8,2692173.0,au,2017
hip hop,pop rock,8,6552303.2,au,2017
dubstep,pop,8,6008765.4,au,2017
pop,rock,8,1335526.8,au,2017
hip hop,indie rock,8,570384.5,au,2017
electro,indie,7,1080517.5714285714,au,2017
indie pop rap,rap,7,1953478.2,au,2017
dance pop,moombahton,7,6377761.333333332,au,2017
dance pop,dancehall,7,4854378.5,au,2017
dance pop,latin,7,1678657.0,au,2017
house,urban contemporary,7,1180896.2,au,2017
r&b,r&b,7,5902135.0,au,2017
dance pop,indie,7,3254639.0,au,2017
electropop,indie,7,4209856.0,au,2017
indie rock,rap,7,667753.0,au,2017
indie rock,pop rap,7,776457.75,au,2017
indie pop rap,pop rap,6,2340968.75,au,2017
dancehall,tropical house,6,4494115.8,au,2017
pop,pop rock,6,3574566.666666666,au,2017
indie,other,6,3646222.833333334,au,2017
electro,soul,6,4578670.0,au,2017
country,pop,6,4778931.5,au,2017
dubstep,electro,6,326917.75,au,2017
indie,tropical house,6,3640656.833333334,au,2017
rock,trap,6,1552593.0,au,2017
electro house,other,5,3414926.0,au,2017
dance pop,reggaeton,5,2087663.6,au,2017
deep pop r&b,pop,5,5011604.0,au,2017
deep pop r&b,pop rap,5,1065833.333333333,au,2017
deep pop r&b,hip hop,5,1065833.333333333,au,2017
other,trap,5,2627491.6,au,2017
pop,techno,5,8604399.8,au,2017
soul,tropical house,5,4863471.2,au,2017
country pop,pop,5,6268793.666666668,au,2017
county rock,pop,5,6268793.666666668,au,2017
country,dance pop,5,6268793.666666668,au,2017
country pop,dance pop,5,6268793.666666668,au,2017
county rock,dance pop,5,6268793.666666668,au,2017
dance pop,indie rock,5,4487589.666666667,au,2017
electropop,indietronica,5,5490962.5,au,2017
dance,electro house,5,3280201.8,au,2017
hip hop,indietronica,5,1068044.8,au,2017
funk,tropical house,5,8598427.4,au,2017
dance pop,funk,5,10742721.25,au,2017
other,r&b,4,4198571.75,au,2017
dance pop,indie pop rap,4,799216.75,au,2017
electro house,indie pop,4,5638169.25,au,2017
electropop,moombahton,4,4553031.75,au,2017
dancehall,electro,4,4854378.5,au,2017
dance pop,tropical,4,1137033.5,au,2017
soul,urban contemporary,4,5378158.5,au,2017
r&b,soul,4,965057.6666666664,au,2017
deep pop r&b,trap,4,141772.5,au,2017
deep pop r&b,electro,4,8177143.5,au,2017
dance pop,techno,4,10625760.25,au,2017
electro,synthpop,4,3945436.0,au,2017
pop,synthpop,4,3945436.0,au,2017
electropop,synthpop,4,3945436.0,au,2017
house,soul,4,5584577.75,au,2017
latin,tropical,4,19548457.5,au,2017
indietronica,tropical house,4,4248492.75,au,2017
dance pop,dubstep,4,3370577.666666666,au,2017
electro,moombahton,4,1984447.333333333,au,2017
dubstep,electropop,4,336908.33333333326,au,2017
house,house,4,2566920.0,au,2017
pop rock,trap,4,4561367.0,au,2017
indie rock,trap,4,847910.0,au,2017
electropop,indie pop rap,3,1007991.3333333336,au,2017
indie pop,moombahton,3,5723385.0,au,2017
moombahton,tropical house,3,5723385.0,au,2017
dance,dancehall,3,6158668.0,au,2017
other,other,3,1044920.3333333336,au,2017
urban contemporary,urban contemporary,3,7559561.0,au,2017
deep pop r&b,rap,3,1065833.333333333,au,2017
deep pop r&b,tropical house,3,8258158.333333332,au,2017
dance pop,deep pop r&b,3,8258158.333333332,au,2017
electropop,techno,3,12461433.666666664,au,2017
indie,synthpop,3,3945436.0,au,2017
dance,other,3,3682746.333333334,au,2017
electro house,soul,3,7112015.333333332,au,2017
dance,soul,3,7347121.666666668,au,2017
grime,rap,3,603796.0,au,2017
grime,pop rap,3,603796.0,au,2017
grime,hip hop,3,603796.0,au,2017
indie pop,r&b,3,1073147.0,au,2017
indietronica,rap,3,749354.0,au,2017
electro,indie rock,3,4247619.666666667,au,2017
indie rock,tropical house,3,4247619.666666667,au,2017
pop,reggae,3,2645357.0,au,2017
dance pop,reggae,3,2589092.666666666,au,2017
latin,latin,3,13311789.333333336,au,2017
latin,reggaeton,3,13311789.333333336,au,2017
electropop,soul,3,1030945.3333333336,au,2017
dubstep,tropical house,3,401259.0,au,2017
dance,house,3,1736492.0,au,2017
house,other,3,1701215.0,au,2017
dancehall,funk,3,10668363.333333334,au,2017
dance pop,rock,3,1370073.0,au,2017
dance pop,pop rock,3,1332116.333333333,au,2017
electropop,pop rock,3,1332116.333333333,au,2017
house,indie pop,3,2336051.333333333,au,2017
moombahton,pop rap,3,10077451.5,au,2017
moombahton,rap,3,10077451.5,au,2017
electro,escape room,3,108753.0,au,2017
hip hop,metal,3,248005.5,au,2017
hip hop,rap metal,3,248005.5,au,2017
indietronica,other,3,2239548.0,au,2017
electro,indietronica,3,3621186.0,au,2017
electropop,urban contemporary,3,4155709.0,au,2017
funk,pop rap,3,9681192.333333334,au,2017
electro,ninja,3,650302.0,au,2017
funk,hip hop,3,6443635.5,au,2017
francoton,latin,2,8602656.5,au,2017
francoton,reggaeton,2,8602656.5,au,2017
indie pop rap,trap,2,1287297.5,au,2017
hip hop,indie pop rap,2,1287297.5,au,2017
indie pop,indie pop rap,2,1415260.5,au,2017
dancehall,house,2,1159849.0,au,2017
other,reggaeton,2,1417182.5,au,2017
latin,other,2,1417182.5,au,2017
other,tropical,2,1417182.5,au,2017
deep pop r&b,r&b,2,141772.5,au,2017
deep pop r&b,soul,2,141772.5,au,2017
dance,deep pop r&b,2,10930260.0,au,2017
dance,synthpop,2,3264556.0,au,2017
grime,pop,2,834080.5,au,2017
country,electro,2,6202771.0,au,2017
country pop,electro,2,6202771.0,au,2017
county rock,electro,2,6202771.0,au,2017
country,electro house,2,6202771.0,au,2017
country pop,electro house,2,6202771.0,au,2017
county rock,electro house,2,6202771.0,au,2017
country,tropical house,2,6202771.0,au,2017
country pop,tropical house,2,6202771.0,au,2017
county rock,tropical house,2,6202771.0,au,2017
country,house,2,6202771.0,au,2017
country pop,house,2,6202771.0,au,2017
county rock,house,2,6202771.0,au,2017
electro house,indie rock,2,6202771.0,au,2017
house,indie rock,2,6202771.0,au,2017
country,indie rock,2,6202771.0,au,2017
country pop,indie rock,2,6202771.0,au,2017
county rock,indie rock,2,6202771.0,au,2017
tropical,tropical,2,19548457.5,au,2017
reggaeton,tropical,2,19548457.5,au,2017
hip hop,latin,2,19548457.5,au,2017
hip hop,tropical,2,19548457.5,au,2017
latin,r&b,2,3182006.0,au,2017
dubstep,r&b,2,9985204.0,au,2017
dubstep,hip hop,2,400771.0,au,2017
new wave,tropical house,2,13837442.0,au,2017
new wave,pop,2,13837442.0,au,2017
electropop,new wave,2,13837442.0,au,2017
disco house,tropical house,2,650305.0,au,2017
electro,indie soul,2,560046.0,au,2017
dancehall,hip hop,2,6550596.0,au,2017
electro house,indie,2,1556581.5,au,2017
house,indie,2,5414311.5,au,2017
electropop,indie rock,2,928793.0,au,2017
electropop,rock,2,1825716.0,au,2017
indie,indietronica,2,7163951.0,au,2017
indietronica,trap,2,2117406.5,au,2017
moombahton,trap,2,10077451.5,au,2017
hip hop,moombahton,2,10077451.5,au,2017
escape room,indie,2,108753.0,au,2017
electropop,escape room,2,108753.0,au,2017
electro house,electro house,2,2330802.5,au,2017
indie pop,ninja,2,540010.0,au,2017
metal,pop rap,2,248005.5,au,2017
pop rap,rap metal,2,248005.5,au,2017
metal,rap,2,248005.5,au,2017
rap,rap metal,2,248005.5,au,2017
indie pop,urban contemporary,2,1658763.0,au,2017
indie pop,trap,2,857980.0,au,2017
adult standards,pop,2,789874.0,au,2017
indie r&b,rap,2,521385.5,au,2017
indie r&b,pop,2,521385.5,au,2017
hip hop,indie r&b,2,521385.5,au,2017
rock,rock,2,1283707.5,au,2017
experimental,rock,2,1014822.0,au,2017
electropop,funk,2,13360433.0,au,2017
dance pop,indietronica,2,2882991.5,au,2017
electropop,ninja,2,927394.0,au,2017
ninja,pop,2,535724.0,au,2017
dubstep,house,2,277789.0,au,2017
afropop,pop,2,6868614.5,au,2017
afropop,pop rap,2,6868614.5,au,2017
dancehall,pop rap,2,6868614.5,au,2017
azonto,pop,2,6868614.5,au,2017
azonto,pop rap,2,6868614.5,au,2017
electro,funk,2,11844526.5,au,2017
r&b,rock,2,1552593.0,au,2017
rock,soul,2,1552593.0,au,2017
electro house,moombahton,2,258632.0,au,2017
electro house,ninja,2,258632.0,au,2017
folk,new wave,1,706189.0,au,2017
new wave,rock,1,706189.0,au,2017
celtic,new wave,1,706189.0,au,2017
new wave,punk,1,706189.0,au,2017
indie pop rap,r&b,1,5908628.0,au,2017
indie pop rap,urban contemporary,1,5908628.0,au,2017
r&b,reggaeton,1,6258164.0,au,2017
francoton,pop,1,6258164.0,au,2017
francoton,r&b,1,6258164.0,au,2017
dance pop,francoton,1,6258164.0,au,2017
indie,indie pop,1,11726571.0,au,2017
indie pop,indietronica,1,11726571.0,au,2017
dubstep,indie pop,1,543886.0,au,2017
new wave,rap,1,1520809.0,au,2017
hip hop,new wave,1,1520809.0,au,2017
escape room,hip hop,1,504596.0,au,2017
electro,new wave,1,1215051.0,au,2017
electro house,new wave,1,1215051.0,au,2017
dance pop,new wave,1,1215051.0,au,2017
electro,techno,1,5118740.0,au,2017
techno,tropical house,1,5118740.0,au,2017
disco house,soul,1,1002265.0,au,2017
disco house,indie soul,1,1002265.0,au,2017
disco house,house,1,1002265.0,au,2017
indie soul,tropical house,1,1002265.0,au,2017
house,indie soul,1,1002265.0,au,2017
dance,indie soul,1,1002265.0,au,2017
hip hop,reggae,1,305473.0,au,2017
indie,techno,1,518958.0,au,2017
funk,r&b,1,3053065.0,au,2017
funk,reggae,1,3053065.0,au,2017
r&b,reggae,1,3053065.0,au,2017
dancehall,r&b,1,3053065.0,au,2017
reggae,tropical house,1,3053065.0,au,2017
disco house,pop,1,298345.0,au,2017
indie,indie,1,4018237.0,au,2017
indie,indie soul,1,117827.0,au,2017
electropop,indie soul,1,117827.0,au,2017
indie,indie pop rap,1,403516.0,au,2017
chillwave,indie pop,1,267204.0,au,2017
adult standards,other,1,1221156.0,au,2017
lounge,other,1,1221156.0,au,2017
other,soul,1,5959284.0,au,2017
dance,escape room,1,99679.0,au,2017
escape room,pop,1,99679.0,au,2017
dance,indie pop,1,403571.0,au,2017
indie pop,indie pop,1,16464432.0,au,2017
electro,pop house,1,184719.0,au,2017
electro house,pop house,1,184719.0,au,2017
pop house,tropical house,1,184719.0,au,2017
pop,pop house,1,184719.0,au,2017
dance pop,pop house,1,184719.0,au,2017
electropop,pop house,1,184719.0,au,2017
moombahton,urban contemporary,1,9267169.0,au,2017
dance,indie,1,3770649.0,au,2017
adult standards,adult standards,1,1270403.0,au,2017
adult standards,swing,1,1270403.0,au,2017
adult standards,easy listening,1,1270403.0,au,2017
adult standards,lounge,1,1270403.0,au,2017
lounge,swing,1,1270403.0,au,2017
easy listening,lounge,1,1270403.0,au,2017
pop,swing,1,1270403.0,au,2017
easy listening,pop,1,1270403.0,au,2017
hip hop,k-pop,1,724833.0,au,2017
k-pop,rap,1,724833.0,au,2017
k-pop,trap,1,724833.0,au,2017
k-pop,pop rap,1,724833.0,au,2017
electro,k-pop,1,724833.0,au,2017
electro house,k-pop,1,724833.0,au,2017
k-pop,tropical house,1,724833.0,au,2017
house,k-pop,1,724833.0,au,2017
dance pop,k-pop,1,724833.0,au,2017
latin,urban contemporary,1,105848.0,au,2017
latin,pop rap,1,105848.0,au,2017
indie soul,rap,1,900743.0,au,2017
indie soul,pop rap,1,900743.0,au,2017
indie r&b,pop rap,1,900743.0,au,2017
indie soul,pop,1,900743.0,au,2017
hip hop,indie soul,1,900743.0,au,2017
drill,pop rap,1,550406.0,au,2017
drill,rap,1,550406.0,au,2017
drill,trap,1,550406.0,au,2017
drill,hip hop,1,550406.0,au,2017
folk rock,rock,1,1014822.0,au,2017
psychedelic rock,rock,1,1014822.0,au,2017
mellow gold,rock,1,1014822.0,au,2017
classic rock,rock,1,1014822.0,au,2017
folk rock,pop,1,1014822.0,au,2017
experimental,folk rock,1,1014822.0,au,2017
pop,psychedelic rock,1,1014822.0,au,2017
experimental,psychedelic rock,1,1014822.0,au,2017
mellow gold,pop,1,1014822.0,au,2017
experimental,mellow gold,1,1014822.0,au,2017
classic rock,pop,1,1014822.0,au,2017
classic rock,experimental,1,1014822.0,au,2017
house,indietronica,1,10309665.0,au,2017
indietronica,indietronica,1,10309665.0,au,2017
metal,trap,1,143227.0,au,2017
rap metal,trap,1,143227.0,au,2017
grime,indie rock,1,143227.0,au,2017
grime,metal,1,143227.0,au,2017
grime,rap metal,1,143227.0,au,2017
grime,trap,1,143227.0,au,2017
reggae,reggae,1,136680.0,au,2017
pop rap,reggae,1,136680.0,au,2017
funk,other,1,4519127.0,au,2017
indie r&b,soul,1,142028.0,au,2017
indie pop,indie r&b,1,142028.0,au,2017
indie r&b,indietronica,1,142028.0,au,2017
electropop,indie r&b,1,142028.0,au,2017
indietronica,pop rap,1,458787.0,au,2017
r&b,techno,1,25308122.0,au,2017
country,electropop,1,6400839.0,au,2017
country pop,electropop,1,6400839.0,au,2017
county rock,electropop,1,6400839.0,au,2017
deep pop r&b,electro house,1,7934099.0,au,2017
deep pop r&b,dubstep,1,7934099.0,au,2017
ninja,tropical house,1,812816.0,au,2017
dance pop,ninja,1,812816.0,au,2017
indie pop,indie rock,1,800359.0,au,2017
indie pop,metal,1,800359.0,au,2017
indie pop,rap metal,1,800359.0,au,2017
indie rock,indietronica,1,800359.0,au,2017
indietronica,metal,1,800359.0,au,2017
indietronica,rap metal,1,800359.0,au,2017
metal,pop,1,800359.0,au,2017
pop,rap metal,1,800359.0,au,2017
electropop,metal,1,800359.0,au,2017
electropop,rap metal,1,800359.0,au,2017
indietronica,synthpop,1,5307196.0,au,2017
dubstep,soul,1,296946.0,au,2017
dubstep,pop rap,1,296946.0,au,2017
afropop,electro,1,941510.0,au,2017
afropop,electro house,1,941510.0,au,2017
afropop,tropical house,1,941510.0,au,2017
afropop,moombahton,1,941510.0,au,2017
afropop,dance pop,1,941510.0,au,2017
dancehall,electro house,1,941510.0,au,2017
dancehall,moombahton,1,941510.0,au,2017
azonto,electro,1,941510.0,au,2017
azonto,electro house,1,941510.0,au,2017
azonto,tropical house,1,941510.0,au,2017
azonto,moombahton,1,941510.0,au,2017
azonto,dance pop,1,941510.0,au,2017
adult standards,country,1,309345.0,au,2017
adult standards,dance pop,1,309345.0,au,2017
country,lounge,1,309345.0,au,2017
lounge,pop,1,309345.0,au,2017
dance pop,lounge,1,309345.0,au,2017
funk,house,1,1009006.0,au,2017
indie rock,rock,1,1552593.0,au,2017
pop rock,rock,1,1552593.0,au,2017
indie rock,r&b,1,1552593.0,au,2017
pop rock,r&b,1,1552593.0,au,2017
indie rock,soul,1,1552593.0,au,2017
pop rock,soul,1,1552593.0,au,2017
indie pop,other,1,2913955.0,au,2017
deep pop r&b,indie pop,1,2913955.0,au,2017
deep pop r&b,electropop,1,2913955.0,au,2017
dubstep,moombahton,1,258632.0,au,2017
dubstep,ninja,1,258632.0,au,2017
dubstep,electro house,1,258632.0,au,2017
funk,rap,1,12795719.0,au,2017
afropop,rap,1,12795719.0,au,2017
dancehall,rap,1,12795719.0,au,2017
azonto,rap,1,12795719.0,au,2017
afropop,hip hop,1,12795719.0,au,2017
azonto,hip hop,1,12795719.0,au,2017
afropop,funk,1,12795719.0,au,2017
azonto,funk,1,12795719.0,au,2017
electro,rock,1,2594205.0,au,2017
electro house,rock,1,2594205.0,au,2017
rock,tropical house,1,2594205.0,au,2017
electro,pop rock,1,2594205.0,au,2017
electro house,pop rock,1,2594205.0,au,2017
pop rock,tropical house,1,2594205.0,au,2017
dubstep,indie,1,208207.0,au,2017
dance,dubstep,1,208207.0,au,2017
dubstep,synthpop,1,208207.0,au,2017
dubstep,other,1,208207.0,au,2017
synthpop,tropical house,1,208207.0,au,2017
dance pop,pop,245,5108402.458015267,au,2018
pop,pop,238,5323894.215909091,au,2018
hip hop,rap,219,4250768.130841121,au,2018
pop rap,rap,206,3794260.0093457946,au,2018
pop,pop rap,185,4391829.916666667,au,2018
hip hop,pop rap,176,3318946.686046512,au,2018
pop,rap,172,4475402.168141593,au,2018
rap,trap,163,4653964.153846154,au,2018
hip hop,pop,155,3825472.969072165,au,2018
pop,tropical house,139,5069149.406976745,au,2018
hip hop,trap,139,3358653.0428571426,au,2018
rap,rap,131,3928220.745098039,au,2018
pop rap,trap,131,3897105.970588235,au,2018
electro,pop,130,4909350.416666667,au,2018
electropop,pop,114,4461085.246753247,au,2018
dance pop,pop rap,105,4122603.805555557,au,2018
hip hop,hip hop,96,3165505.666666666,au,2018
pop,trap,94,4248098.821428572,au,2018
pop rap,pop rap,87,3520035.9827586208,au,2018
dance pop,rap,83,4049177.0508474577,au,2018
dance pop,tropical house,82,5231506.584905662,au,2018
dance pop,electro,74,5439570.666666667,au,2018
dance pop,hip hop,73,3635832.326923077,au,2018
dance pop,dance pop,71,4695415.542372881,au,2018
dance pop,electropop,56,5304116.434782608,au,2018
trap,trap,54,3819274.157894737,au,2018
house,pop,53,4827819.083333333,au,2018
pop,r&b,53,8204986.75,au,2018
dance pop,trap,47,4415155.636363637,au,2018
dance,pop,46,5767948.636363638,au,2018
r&b,rap,44,4470832.628571428,au,2018
electro house,pop,44,6692243.685714286,au,2018
electro,tropical house,44,4346156.655172414,au,2018
other,pop,38,5439657.25,au,2018
electropop,tropical house,38,5419874.827586207,au,2018
electro,pop rap,36,4412073.076923077,au,2018
pop rap,r&b,35,5773869.269230769,au,2018
electro,electropop,35,5147170.833333333,au,2018
hip hop,r&b,32,2910632.875,au,2018
pop rap,tropical house,31,4579426.136363637,au,2018
electro,rap,29,3922108.9,au,2018
electro,hip hop,28,3733974.263157895,au,2018
tropical house,tropical house,26,3873292.863636364,au,2018
dance pop,house,25,5968737.421052633,au,2018
dance pop,r&b,25,6838311.260869565,au,2018
electropop,pop rap,25,5961792.5,au,2018
rap,urban contemporary,25,3045580.1052631573,au,2018
dance pop,other,24,4774124.875,au,2018
dance pop,electro house,23,6755679.25,au,2018
dance,dance pop,23,6925488.157894737,au,2018
electro,trap,23,4141109.8125,au,2018
other,other,22,4571172.5,au,2018
indie pop,pop,22,5499789.111111111,au,2018
pop,urban contemporary,22,4038081.941176471,au,2018
pop rap,urban contemporary,21,3260620.666666666,au,2018
moombahton,pop,20,2759640.8181818184,au,2018
electropop,rap,20,5706501.066666666,au,2018
hip hop,tropical house,20,4626702.857142857,au,2018
latin,pop,19,4909605.0,au,2018
rap,tropical house,19,4455236.357142857,au,2018
electro,electro,18,4784671.625,au,2018
electro,house,18,5407255.083333333,au,2018
hip hop,urban contemporary,18,3049521.583333333,au,2018
country,pop,17,6548805.466666668,au,2018
electropop,electropop,17,5695989.117647058,au,2018
house,tropical house,17,5369533.0,au,2018
electro house,rap,17,4014649.2857142864,au,2018
rap,soul,16,6080376.3125,au,2018
pop,soul,16,5665887.461538463,au,2018
electropop,trap,16,4281590.454545454,au,2018
pop,reggaeton,16,5317032.555555556,au,2018
electro house,electropop,16,5851913.8,au,2018
electro house,hip hop,15,4004820.0,au,2018
trap,tropical house,15,4934608.727272728,au,2018
ninja,pop,14,3335916.7142857136,au,2018
dance,tropical house,14,5909440.461538463,au,2018
funk,pop,14,7097647.8,au,2018
electro house,tropical house,14,6392596.1,au,2018
electro house,pop rap,13,2869995.5,au,2018
dance pop,urban contemporary,13,1948796.636363636,au,2018
electro,electro house,13,4715051.4,au,2018
electropop,hip hop,13,6579077.363636362,au,2018
indie,pop,12,3292738.75,au,2018
dance,electropop,12,3732042.8181818174,au,2018
country,dance pop,12,8803106.7,au,2018
pop rap,soul,11,5447237.1,au,2018
hip hop,soul,11,2924653.0,au,2018
house,rap,11,5550463.714285715,au,2018
dance pop,soul,11,6938322.444444444,au,2018
electro,r&b,10,8769036.4,au,2018
pop,pop rock,10,8614448.3,au,2018
dance,electro,10,5964199.8,au,2018
dance pop,moombahton,10,3122118.625,au,2018
electropop,r&b,10,11468552.0,au,2018
house,pop rap,10,2914883.333333333,au,2018
electropop,house,10,5058843.5,au,2018
electro,indie pop,9,4202120.888888889,au,2018
indie pop,tropical house,9,5232195.888888889,au,2018
dance pop,indie pop,9,3454698.0,au,2018
electro,other,9,4744205.375,au,2018
other,tropical house,9,4278891.0,au,2018
dance,pop rap,9,4686654.25,au,2018
r&b,r&b,9,10120367.57142857,au,2018
electro house,trap,9,5395442.625,au,2018
dance pop,funk,9,8487958.285714285,au,2018
dancehall,pop,9,2642446.6,au,2018
dance pop,latin,9,2868935.666666666,au,2018
house,trap,9,5410185.285714285,au,2018
hip hop,house,9,5617677.0,au,2018
electro,soul,9,8568756.375,au,2018
r&b,trap,9,4870101.2,au,2018
country,tropical house,8,7178954.5,au,2018
country,electropop,8,8308242.375,au,2018
dance pop,k-pop,8,1137473.7142857143,au,2018
electropop,indie,8,3758987.875,au,2018
pop rap,pop rock,8,6258505.625,au,2018
electropop,indie pop,8,8189774.75,au,2018
trap,urban contemporary,8,5345580.2,au,2018
r&b,tropical house,8,11102501.42857143,au,2018
dance pop,reggaeton,8,3194171.4,au,2018
soul,tropical house,8,9733411.857142856,au,2018
house,r&b,7,6869421.857142857,au,2018
pop rock,rap,7,6720145.857142857,au,2018
dance pop,ninja,7,3745315.0,au,2018
electropop,other,7,5055087.857142857,au,2018
pop,tropical,7,2279420.666666666,au,2018
pop,techno,7,6034225.428571427,au,2018
county rock,pop,7,10115595.2,au,2018
county rock,dance pop,7,10115595.2,au,2018
indie pop,pop rap,7,9872438.833333334,au,2018
other,pop rap,7,4395502.333333333,au,2018
hip hop,indie pop,7,4889476.4,au,2018
hip hop,indie r&b,7,1954489.75,au,2018
