artist_id,genre
3XxxEq6BREC57nCWXbQZ7o,indie
57n1OF36WvtOeATY6WQ6iw,hip hop
57n1OF36WvtOeATY6WQ6iw,rap
57n1OF36WvtOeATY6WQ6iw,drill
5nH2klYTzn8CNvUv1GOGQO,francoton
4xTiWBThjZgo1uZn1WpZm3,other
4xTiWBThjZgo1uZn1WpZm3,francoton
4xTiWBThjZgo1uZn1WpZm3,rap
4xTiWBThjZgo1uZn1WpZm3,pop
4xTiWBThjZgo1uZn1WpZm3,rai
5TS11vZTUaDP4maTjFCcBU,j-idol
5TS11vZTUaDP4maTjFCcBU,other
5TS11vZTUaDP4maTjFCcBU,j-pop
6XyY86QOPPrYVGvF9ch6wz,indie rock
6XyY86QOPPrYVGvF9ch6wz,metal
6XyY86QOPPrYVGvF9ch6wz,rap metal
0eHQ9o50hj6ZDNBt6Ys1sD,latin
0eHQ9o50hj6ZDNBt6Ys1sD,tropical
0eHQ9o50hj6ZDNBt6Ys1sD,reggaeton
0eHQ9o50hj6ZDNBt6Ys1sD,hip hop
5QuBVnBPEzwYvFrgBbwpmU,r&b
5QuBVnBPEzwYvFrgBbwpmU,soul
5QuBVnBPEzwYvFrgBbwpmU,indie r&b
5QuBVnBPEzwYvFrgBbwpmU,indie pop
5QuBVnBPEzwYvFrgBbwpmU,chillwave
5QuBVnBPEzwYvFrgBbwpmU,escape room
5QuBVnBPEzwYvFrgBbwpmU,pop
5QuBVnBPEzwYvFrgBbwpmU,indietronica
5QuBVnBPEzwYvFrgBbwpmU,dance pop
5QuBVnBPEzwYvFrgBbwpmU,electropop
5yECsdgmXEkHpn5B00ZNfY,hip hop
1r3tpVQ08jFAA2P4xzV5o4,reggaeton
1uiEZYehlNivdK3iQyAbye,indie soul
5Gejwv3xz2DpLcxVpMD6hL,other
1XLjkBxFokuDTlHt0mQkRe,electro
1XLjkBxFokuDTlHt0mQkRe,electro house
1XLjkBxFokuDTlHt0mQkRe,tropical house
1XLjkBxFokuDTlHt0mQkRe,techno
1XLjkBxFokuDTlHt0mQkRe,house
1XLjkBxFokuDTlHt0mQkRe,electropop
4tYSBptyGeVyZsk8JC4JHZ,rap
4tYSBptyGeVyZsk8JC4JHZ,trap
4tYSBptyGeVyZsk8JC4JHZ,hip hop
1LQQtqc1vQ1neUgZrjYlEU,other
1LQQtqc1vQ1neUgZrjYlEU,anime
1LQQtqc1vQ1neUgZrjYlEU,j-pop
4Z4afeDmHFxPmJorIwupbZ,other
4Z4afeDmHFxPmJorIwupbZ,pop
7J0LWYD28ay7XQBjlWL9jM,hip hop
1ZHk8dteZz6Vi2HFp4hGoM,hip hop
1ZHk8dteZz6Vi2HFp4hGoM,drill
