song_id,artist_id
6LfA9Sj2fZM2XmFFYmzKSm,2pHk4wAmL7ofTAuvCIUWtv
6XOYVSmNDjKUNMXooU4s4z,5Pwc4xIPtQLFEnJriah9YJ
5FJUbcs6V1sMuDNw0GM2NQ,4LXBc13z5EWsc5N32bLxfH
1FTsXXwai3jVXhBTLd4e4L,2Z0lRIqr997lIUiPtrpKCr
0V2axJ946WH1vt9t5SGMLV,0aD7NQx7yauKlVDnqOxk6q
2xSrXv2kHXdBGCXv31TzeQ,1oSgjdbgLYULVmEBojPRw8
3XbxOKMhF5DnOYue7JMsYm,6L34dW6SKMSDaGIfYDU19j
0wTDvm3s5COanWlqf91hdS,6YqdtpUutxodni6lUD4stM
7bTOo2cEsj7HqColBVPkm1,3utZ2yeQk0Z3BCOBWP7Vlu
6kQtZRfVpMV1XsPkyjjzLa,7rkW85dBwwrJtlHRDkJDAC
4IdAIZRVkwuQQnHpi529cn,2EMAnMvWE2eb56ToJVfCWs
4iVD0fTHGxV9JWloujsL3s,0EeQBlQJFiAfJeVN2vT9s0
4iVD0fTHGxV9JWloujsL3s,0FOWNUFHPnMy0vOw1siGqi
4iVD0fTHGxV9JWloujsL3s,3s8alQfNnY0roAHaJh7Xxt
5UYK9MervBCROg8AHNeEIy,4MCBfE4596Uoi2O4DtmEMz
7xVLFuuYdAvcTfcP3IG3dS,5dHt1vcEm9qb8fCyLcB3HL
7xVLFuuYdAvcTfcP3IG3dS,13ubrt8QOOCPljQ2FL1Kca
7xVLFuuYdAvcTfcP3IG3dS,6vXTefBL93Dj5IqAWq6OTv
7xVLFuuYdAvcTfcP3IG3dS,0I5HubncQ8E1MFZOlPDY4J
7xVLFuuYdAvcTfcP3IG3dS,5IcR3N7QB1j6KBL8eImZ8m
6dFn6my1sHK2bcf23GlHwM,4LLpKhyESsyAXpc4laK94U
2Xqwc88RkTu9Ybwn6oS7Ea,18ISxWwWjV6rPLoVCXf1dz
2YrPXEezDwNbDj7kkUOWPy,1q7T9rFQ2a2ukA1PU51fo3
3J3JcR6Akadd7R42qoqdhy,0b62itBWBdLgiecXjXCqKC
3J3JcR6Akadd7R42qoqdhy,2jku7tDXc6XoB6MO2hFuqg
3J3JcR6Akadd7R42qoqdhy,5eioJDe26lOqkAMbuhzZYs
70mIuBKGTPrWMwWq9D4F56,7c0XG5cIJTrrAgEC3ULPiq
70mIuBKGTPrWMwWq9D4F56,54QA4zjZDOyaLN8bVthBjP
0XIzUm7rwQfyy6H1CJeAs9,2UwqpfQtNuhBwviIC0f2ie
7bSrg0OrH9eEMjRn6JhmyT,2kXKa3aAFngGz2P4GjG5w2
55zn5ujMpCkJWd2exRvs5r,6L34dW6SKMSDaGIfYDU19j
461LN3UXOCqznSTqapFzL0,4RVnAU35WRWra6OZ3CbbMA
4WUbJBhwg1MB25H5dzvUbP,6NG0bF3tpQuQOixbzFPLIv
1YcY5Iiv3Ab68QC2rMKuBP,7CUFPNi1TU8RowpnFRSsZV
1NEdLeqdQ8hufML9t9dHiU,2s7fZ34RK8RUJQ2ewsh6I5
1NEdLeqdQ8hufML9t9dHiU,6qFt3TjvxMt77YGsktWG8Z
6KjbNLbRjuoa8rEq5yNA6H,69GGBxA162lTqCwzJG5jLp
2RL74ODWD3YGcHIhNeJvNN,3p7PcrEHaaKLJnPUGOtRlT
3wwo0bJvDSorOpNfzEkfXx,4MCBfE4596Uoi2O4DtmEMz
01eVMUiJcYmHqy1HUURwOY,2P7AfQW941UU324qq2ggZf
33d6rJoYPXAZsSDcog3cV8,2YIxQoGvBukvoC1CbJ7opS
5FkBFIGzG8lYFktLyZNUq6,2HHmvvSQ44ePDH7IKVzgK0
7kRhodBTcAQXGoZdTEw8fZ,59FrDXDVJz0EKqYg39dnT2
7lnQCEtaDJeMZN75siSxLc,18ISxWwWjV6rPLoVCXf1dz
1r33iukEx0COYuBzyXPmPP,13ubrt8QOOCPljQ2FL1Kca
