artist_1,artist_2,count,song_id
Cardi B,G-Eazy,2,2DQ1ITjI0YoLFzuADN1ZBW
Cardi B,G-Eazy,2,2Xqd0wUttjueBfdcltADOv
Beyoncé,JAY-Z,2,3OoZagIW3YK8vjt0ws6NOI
Beyoncé,JAY-Z,2,0WqIKmW4BTrj3eJFmnCKMv
G-Eazy,Halsey,2,5k38wzpLb15YgncyWdTZE4
G-Eazy,Halsey,2,3YU6vJbjYUG0tiJyXf9x5V
Major Lazer,MØ,2,4WjH9Bzt3kx7z8kl0awxh4
Major Lazer,MØ,2,6DNtNfH8hXkqOX1sjqmI7p
Demi Lovato,Jax Jones,2,6yf3MxEOScNBTYCHOAIiNQ
Demi Lovato,Jax Jones,2,0XfOi87h82i09rQjWYG0Bm
Demi Lovato,Stefflon Don,2,6yf3MxEOScNBTYCHOAIiNQ
Demi Lovato,Stefflon Don,2,0XfOi87h82i09rQjWYG0Bm
Jax Jones,Stefflon Don,2,6yf3MxEOScNBTYCHOAIiNQ
Jax Jones,Stefflon Don,2,0XfOi87h82i09rQjWYG0Bm
CNCO,Little Mix,2,3zoYkqS4y2BsGVShPL2nTE
CNCO,Little Mix,2,5PB8zB1MOZASboLquvinMF
Big Sean,Calvin Harris,2,6BaCraQ9xeLYg4Sb9TBT2X
Big Sean,Calvin Harris,2,5bcTCxgc7xVfSaMV3RuVke
Big Sean,Katy Perry,2,6BaCraQ9xeLYg4Sb9TBT2X
Big Sean,Katy Perry,2,5bcTCxgc7xVfSaMV3RuVke
Big Sean,Pharrell Williams,2,6BaCraQ9xeLYg4Sb9TBT2X
Big Sean,Pharrell Williams,2,5bcTCxgc7xVfSaMV3RuVke
Calvin Harris,Katy Perry,2,6BaCraQ9xeLYg4Sb9TBT2X
Calvin Harris,Katy Perry,2,5bcTCxgc7xVfSaMV3RuVke
Katy Perry,Pharrell Williams,2,6BaCraQ9xeLYg4Sb9TBT2X
Katy Perry,Pharrell Williams,2,5bcTCxgc7xVfSaMV3RuVke
Calvin Harris,DJ Khaled,2,4vv1KjUzPwrtDbozizSfQc
Calvin Harris,DJ Khaled,2,6LOCAhFzZiavHcLJucLuDy
Calvin Harris,Jeremih,2,4vv1KjUzPwrtDbozizSfQc
Calvin Harris,Jeremih,2,6LOCAhFzZiavHcLJucLuDy
Calvin Harris,Travis Scott,2,4vv1KjUzPwrtDbozizSfQc
Calvin Harris,Travis Scott,2,6LOCAhFzZiavHcLJucLuDy
DJ Khaled,Jeremih,2,4vv1KjUzPwrtDbozizSfQc
DJ Khaled,Jeremih,2,6LOCAhFzZiavHcLJucLuDy
DJ Khaled,Travis Scott,2,4vv1KjUzPwrtDbozizSfQc
DJ Khaled,Travis Scott,2,6LOCAhFzZiavHcLJucLuDy
Jeremih,Travis Scott,2,4vv1KjUzPwrtDbozizSfQc
Jeremih,Travis Scott,2,6LOCAhFzZiavHcLJucLuDy
Blackstreet,Dr. Dre,2,7ygfhHBOf63eYK0WSEzOP9
Blackstreet,Dr. Dre,2,6MdqqkQ8sSC0WB4i8PyRuQ
